node_id,stop_id,route_id,stop_lat,stop_lon,cluster_id,mode
191,2627,28,43.4415,-80.44705450000001,773,bus
192,2628,28,43.443304499999996,-80.447835,774,bus
193,2629,28,43.4446305,-80.448416,775,bus
194,2630,28,43.446419000000006,-80.449512,776,bus
195,1953,28,43.44851833333333,-80.45078133333332,485,bus
196,2922,28,43.449586499999995,-80.4481445,864,bus
197,1668,28,43.4491622,-80.44361160000001,37,bus
198,2926,28,43.449586499999995,-80.4481445,864,bus
199,2853,28,43.44851833333333,-80.45078133333332,485,bus
200,2854,28,43.446419000000006,-80.449512,776,bus
201,2855,28,43.4446305,-80.448416,775,bus
202,2856,28,43.443304499999996,-80.447835,774,bus
203,2857,28,43.4415,-80.44705450000001,773,bus
204,2858,28,43.439956499999994,-80.4463825,772,bus
205,2859,28,43.437878999999995,-80.44588250000001,771,bus
206,2860,28,43.4359885,-80.4469805,770,bus
207,2967,28,43.434266,-80.44777275000001,437,bus
208,2575,28,43.4343415,-80.45271650000001,753,bus
209,2576,28,43.431159,-80.454438,754,bus
210,2591,28,43.4294615,-80.455646,760,bus
211,2592,28,43.426846,-80.4529265,761,bus
212,2593,28,43.424743,-80.4489485,762,bus
213,2594,28,43.423525,-80.44663700000001,736,bus
214,2595,28,43.42276699999999,-80.44497899999999,734,bus
215,1063,61,43.392727666666666,-80.32265616666666,36,bus
216,1321,61,43.394998,-80.325763,180,bus
217,3850,61,43.394254000000004,-80.329579,1121,bus
218,1051,61,43.393623500000004,-80.33296949999999,31,bus
219,3878,61,43.3929375,-80.33666500000001,1134,bus
220,2313,61,43.3924695,-80.3393285,652,bus
221,1445,61,43.3915935,-80.3441795,257,bus
222,1401,61,43.39026774999999,-80.34649025,227,bus
223,1623,61,43.391745,-80.350135,334,bus
224,1624,61,43.393074999999996,-80.35294250000001,317,bus
225,1625,61,43.394408999999996,-80.35553999999999,316,bus
226,1455,61,43.395850749999994,-80.3583565,240,bus
227,1626,61,43.397363,-80.361226,315,bus
228,1627,61,43.39873,-80.363539,314,bus
