geometry_id,geometry
1921,"LINESTRING (554569.4475921101 4807588.544342257, 554581.6108684747 4807606.135324315, 554581.6108684747 4807606.135324315, 554581.6108684747 4807606.135324315, 554581.6108684747 4807606.135324315, 554612.9466609495 4807625.4919057535, 554657.8220161456 4807492.467162977, 554664.7903475544 4807471.754607644, 554668.6950431827 4807459.458116456, 554673.9058153017 4807445.839439246, 554679.8415966465 4807432.670897325, 554686.50329036 4807419.841435673, 554693.8099451043 4807407.350400263, 554701.6824091983 4807394.975023176)"
1922,"LINESTRING (554930.2215405155 4807286.933390615, 554935.6433345651 4807287.255184771, 554935.6433345651 4807287.255184771, 554939.124443822 4807287.283523431, 554960.8161373689 4807288.015470558, 554982.4196328194 4807289.635282749, 555003.9358268593 4807292.031902377, 555025.446573592 4807295.094931919, 555046.706281276 4807299.155560917, 555067.6367036946 4807303.879955906, 555368.302018742 4807380.919807431)"
1923,"LINESTRING (555368.302018742 4807380.919807431, 555414.9992421992 4807387.911440085, 555449.7432226705 4807396.30453762, 555684.302236722 4807453.101803289, 555769.2766283398 4807486.512022021)"
1924,"LINESTRING (555769.2766283398 4807486.512022021, 555744.5775004283 4807467.704640964, 555811.8817133126 4807484.0321206115, 555808.5232423585 4807498.553794168, 555798.3192056643 4807547.893116307, 555796.8438281214 4807559.875883841, 555795.2369971107 4807577.966113193, 555794.4396976572 4807596.063036859, 555794.3709710421 4807614.165985255, 555795.1917970759 4807632.387354082, 555796.823971714 4807650.393303545, 555799.1847003717 4807668.405278731, 555803.142399275 4807689.096011145, 555820.2199568729 4807782.587018959)"
1925,"LINESTRING (555820.2199568729 4807782.587018959, 555821.0990719345 4807798.643120691, 555827.0354242134 4807834.566089531, 555828.2120788865 4807848.9031548975, 555838.422730829 4807847.654872252, 555880.6139270912 4807846.005001872, 555899.7971019151 4807846.386031748, 555914.1159474807 4807847.615321092, 555928.3473950999 4807849.62136868, 555942.4104905489 4807852.403502849, 555998.2405026702 4807865.639057167, 556042.1938529676 4807875.999804125, 556051.7320065498 4807877.745003819, 556062.0861052361 4807878.719544124, 556072.6085598405 4807878.918046941, 556075.9283941563 4807878.834572441, 556083.1374758669 4807878.339167325, 556093.5109587815 4807876.981559324, 556103.7308589518 4807874.623108239, 556108.4369896981 4807873.329465727, 556149.0215319913 4807860.450383172, 556193.0153586451 4807846.489287855, 556211.1896717385 4807841.642761206, 556225.3808244509 4807838.762254623, 556239.8074331613 4807836.77225774, 556254.2275695354 4807835.559690444, 556264.1071246993 4807835.197807283, 556264.1071246993 4807835.197807283, 556268.7221782028 4807835.125227803, 556283.201967086 4807836.467707865)"
1926,"LINESTRING (556513.7009145764 4807882.487079352, 556517.4106176491 4807884.184123899, 556517.8153628667 4807884.187514214, 556528.5871682927 4807883.611363598, 556541.4710966297 4807882.164411022, 556603.4065585772 4807871.910425538, 556693.6345933649 4807857.007820502, 556806.7235535635 4807838.411576098, 556808.4263007924 4807838.092717423, 556829.3997378261 4807837.380814792, 556843.1979090718 4807837.941303481)"
1927,"LINESTRING (556843.1979090718 4807837.941303481, 556843.7278241535 4807837.501508337, 556846.8039104876 4807837.527423914, 556864.1196459588 4807838.561851582, 556881.3478736588 4807840.373040201, 556898.4076380982 4807842.960306533, 556915.3798830836 4807846.3243321935, 556955.528372089 4807856.547891012, 557043.0972790186 4807878.612116206, 557130.180878649 4807900.56231448, 557194.4025289656 4807916.766562864, 557232.2902362468 4807926.195165505, 557244.8052361946 4807930.0775448885, 557259.8474810009 4807936.646954988)"
1928,"LINESTRING (557259.8474810009 4807936.646954988, 557274.8210041508 4807941.771970714, 557274.8210041508 4807941.771970714, 557287.0836773146 4807946.762937751, 557284.1073045263 4807954.0679581, 557279.708619996 4807966.803090526, 557276.2032076407 4807979.212613746, 557238.2879557809 4808154.37358811, 557222.111470718 4808229.0942034265, 557219.842125026 4808238.959744882, 557216.1797712937 4808250.812643865, 557211.8717568612 4808262.437939295, 557205.1081144124 4808277.26330128, 557199.4353815725 4808287.5442520715, 557192.2840166461 4808300.36716835, 557184.7486686046 4808310.743406082, 557176.0801292055 4808321.110047901, 557167.0106617941 4808331.029042948, 557157.2174327684 4808340.386592579, 557156.697922693 4808353.932126881)"
1929,"LINESTRING (557156.697922693 4808353.932126881, 557150.3692446465 4808346.103957645, 557146.9432734253 4808349.184756913, 557136.1100614897 4808357.089681359, 557124.8749794792 4808364.6580247935, 557113.2427281693 4808371.334503824, 557101.2114242114 4808377.341234664, 557088.7810651741 4808382.678219457, 557034.6879750052 4808404.100488328, 557018.67370848 4808412.072862125, 557002.2463213255 4808421.04136775, 556986.1361815007 4808430.790047683, 556978.0778461577 4808436.053101776, 556970.5061157884 4808441.209209675, 556955.2751842039 4808452.298167021, 556940.6043360546 4808464.169340527, 556926.4154428237 4808476.488872245, 556920.3788828183 4808481.991185066, 556889.1093368474 4808513.603068463, 556839.6699585533 4808568.940944785)"
1930,"LINESTRING (556839.6699585533 4808568.940944785, 556837.9163958136 4808565.705284763, 556749.9843889623 4808655.149729628, 556671.4438321491 4808735.011534718, 556599.1913920211 4808808.48522372, 556573.7198545709 4808834.371807425, 556554.7262919934 4808859.979601432)"
1931,"LINESTRING (556183.7154447439 4809001.929786106, 556182.5698660131 4808993.701442639, 556146.2945415236 4809005.061190006, 556132.3366566282 4809009.387609197, 556076.34250655 4809026.803284815, 556044.6937701064 4809036.647132201, 555989.0229014271 4809054.177276529, 555982.6050740471 4809057.011689971, 555966.5798016522 4809066.652401111, 555972.0280700731 4809073.361502028, 555977.2307585189 4809080.401763925, 556023.5826946254 4809142.094417974, 556039.5169059495 4809162.884859041, 556057.7236147124 4809182.916773859)"
1932,"LINESTRING (556057.7236147124 4809182.916773859, 556056.1775725578 4809183.90350775, 556063.30494546 4809193.070070199, 556071.3970338375 4809203.022115155, 556087.7448513409 4809222.705467005, 556104.8991280547 4809242.728764192, 556248.2770273754 4809413.074950542, 556275.7387648802 4809448.955910927)"
1933,"LINESTRING (556275.7387648802 4809448.955910927, 556277.3703443699 4809447.414616311, 556283.2207878926 4809454.349469599, 556288.3465562388 4809460.834019687, 556302.9135757112 4809480.3919948125, 556316.911220063 4809500.278443696, 556330.4167109025 4809520.938267857, 556358.5706547771 4809561.045840324, 556362.4897611267 4809566.631846017, 556373.6768267208 4809583.8293708125, 556401.9725943599 4809626.270689384, 556431.4009876993 4809668.721613923, 556465.4009341146 4809716.0978184715, 556476.4414408753 4809731.406193006, 556481.7081974347 4809740.335512859, 556488.0818640292 4809752.383932489, 556494.0452924535 4809765.095312475, 556499.114786312 4809778.243468795, 556527.7937175807 4809861.6715999665, 556532.6370527466 4809872.818717582, 556538.4458849222 4809884.640325405, 556544.9867455838 4809896.023816824, 556547.3837584463 4809899.709067852, 556573.6232589099 4809878.271462553)"
1934,"LINESTRING (556735.7240755532 4809772.899787947, 556738.7488181847 4809778.922757689, 556743.7058843289 4809776.521035271, 556749.7149971282 4809774.12817019, 556752.068405205 4809773.370520164, 556760.910883749 4809770.89044642, 556769.8268157014 4809769.299524047, 556778.8171327271 4809768.486696049, 556787.8808964877 4809768.563020061, 556796.9390477783 4809769.305700156, 556805.8278599099 4809770.935487499, 556814.5482651738 4809773.341324145, 556823.9057809726 4809776.974258215, 556831.2410647847 4809780.479096751, 556838.9716113753 4809785.097927208, 556846.2909627471 4809790.490756781, 556853.1200638551 4809796.434787215, 556859.3779881998 4809802.929334659, 556862.1813687539 4809806.395995606, 556917.7793652926 4809892.940623929, 556921.9471515294 4809897.75161164, 556928.4458134627 4809904.470389829, 556935.5165621819 4809910.527613539, 556943.2393851483 4809916.035025291, 556951.210597472 4809920.878152467, 556959.6739129784 4809924.947989361, 556963.303323593 4809926.422497766, 556968.3865600573 4809928.242486682, 556977.5094520355 4809930.874070324, 556983.9721523873 4809932.261466643, 557009.7192952497 4809930.924190148)"
1935,"LINESTRING (557009.7192952497 4809930.924190148, 557007.7141976997 4809938.348611961, 557086.2091625482 4809958.338069454, 557109.5282456721 4809880.567683729, 557127.5208575956 4809820.189503252, 557130.2949124665 4809807.995822407, 557132.0893942376 4809796.793430873, 557133.49806922 4809783.366465122, 557133.4980565149 4809754.711619215, 557133.1357600566 4809740.158996635, 557133.5083909614 4809724.8351441445, 557131.6837561408 4809710.936524482)"
1936,"LINESTRING (557160.7078517867 4809580.902914077, 557163.6194042333 4809581.149724275, 557174.771797095 4809535.374312865, 557158.2151762156 4809531.235613384, 557149.74394649 4809528.053991578, 557141.522084316 4809524.097036753, 557133.7114462286 4809519.36611931, 557126.3101488107 4809514.08335241, 557119.4010020678 4809508.027305644, 557114.8284578866 4809503.2127727065, 557106.8173074462 4809493.482253471, 557102.5731655468 4809488.115184038, 557098.4325137984 4809480.083428091, 557094.9439935916 4809471.501869866, 557092.1047859361 4809462.703680159, 557090.0758134666 4809453.80128562, 557088.9380096522 4809444.795370589, 557088.5304571281 4809435.573507144, 557088.9322091877 4809426.358494747, 557089.287895879 4809422.585288252, 557091.3195463327 4809412.051291169, 557108.1752211025 4809323.563962542, 557125.1122409913 4809235.077369683, 557144.9331639856 4809131.066132042, 557145.7076437928 4809096.975683531)"
1937,"LINESTRING (557145.7076437928 4809096.975683531, 557151.1161437649 4809098.68748816, 557153.7427505375 4809084.826597927, 557174.5827978968 4808975.270834164, 557175.4185176436 4808972.168093746, 557178.2437772594 4808963.528960691, 557181.7946457518 4808955.229175758, 557186.0701837381 4808947.379797236, 557191.0722762758 4808939.758712117, 557193.7742554207 4808936.116472444, 557196.7181053278 4808932.587350011, 557203.0057881826 4808926.087826867, 557209.7743934798 4808920.1477143075, 557211.6802109354 4808914.943816496)"
