geometry_id,geometry
80,"LINESTRING (547281.2719 4815262.1698, 547334.9392999997 4815350.7993, 547373.7121000001 4815412.5756)"
81,"LINESTRING (559723.8211000003 4799325.5735, 559740.8169 4799321.207900001, 559773.0054000001 4799312.4953000005, 559801.5636 4799304.024599999, 559836.1722999997 4799292.649700001, 559863.7023999998 4799283.9651999995, 559888.2062999997 4799274.498400001, 559913.7851999998 4799264.933499999, 559949.8854999999 4799250.0965, 559985.6642000005 4799234.5097, 560021.1212999998 4799218.203, 560031.0493000001 4799213.473999999)"
82,"LINESTRING (559723.8211000003 4799325.5735, 559740.8169 4799321.207900001, 559773.0054000001 4799312.4953000005, 559801.5636 4799304.024599999, 559836.1722999997 4799292.649700001, 559863.7023999998 4799283.9651999995, 559888.2062999997 4799274.498400001, 559913.7851999998 4799264.933499999, 559949.8854999999 4799250.0965, 559985.6642000005 4799234.5097, 560021.1212999998 4799218.203, 560031.0493000001 4799213.473999999)"
83,"LINESTRING (560302.3647999996 4799087.2809999995, 560344.9604000002 4799066.9538, 560467.8893999998 4799006.6061, 560590.4720999999 4798945.5485, 560672.1885000002 4798904.3368999995, 560683.1884000003 4798898.5381000005)"
84,"LINESTRING (560302.3647999996 4799087.2809999995, 560344.9604000002 4799066.9538, 560467.8893999998 4799006.6061, 560590.4720999999 4798945.5485, 560672.1885000002 4798904.3368999995, 560683.1884000003 4798898.5381000005)"
85,"LINESTRING (555671.3394999998 4798466.0561, 555669.7315999996 4798390.691500001, 555665.4003999997 4798222.806299999)"
86,"LINESTRING (555671.3394999998 4798466.0561, 555669.7315999996 4798390.691500001, 555665.4003999997 4798222.806299999)"
87,"LINESTRING (555672.1722999997 4798534.5222, 555672.0486000003 4798502.2587, 555671.3394999998 4798466.0561)"
88,"LINESTRING (555672.1722999997 4798534.5222, 555672.0486000003 4798502.2587, 555671.3394999998 4798466.0561)"
89,"LINESTRING (558938.7017000001 4799598.4756000005, 558944.7088000001 4799595.5561999995, 559027.5383000001 4799554.8145, 559110.0214999998 4799513.3429000005, 559115.5379999997 4799510.543500001, 559272.5580000002 4799436.379000001, 559298.7016000003 4799425.1746, 559324.8452000003 4799414.934, 559349.9045000002 4799406.0187, 559376.2889999999 4799397.2239, 559382.0220999997 4799395.5822, 559403.6374000004 4799389.3928, 559427.2510000002 4799383.248500001, 559436.0018999996 4799381.127, 559443.1540000001 4799379.393200001, 559448.9614000004 4799378.0557, 559454.4726999998 4799376.7864, 559462.7052999996 4799374.957, 559464.7477000002 4799374.5337000005, 559472.8587999996 4799372.8531)"
90,"LINESTRING (558938.7017000001 4799598.4756000005, 558944.7088000001 4799595.5561999995, 559027.5383000001 4799554.8145, 559110.0214999998 4799513.3429000005, 559115.5379999997 4799510.543500001, 559272.5580000002 4799436.379000001, 559298.7016000003 4799425.1746, 559324.8452000003 4799414.934, 559349.9045000002 4799406.0187, 559376.2889999999 4799397.2239, 559382.0220999997 4799395.5822, 559403.6374000004 4799389.3928, 559427.2510000002 4799383.248500001, 559436.0018999996 4799381.127, 559443.1540000001 4799379.393200001, 559448.9614000004 4799378.0557, 559454.4726999998 4799376.7864, 559462.7052999996 4799374.957, 559464.7477000002 4799374.5337000005, 559472.8587999996 4799372.8531)"
91,"LINESTRING (559472.8587999996 4799372.8531, 559516.3086999999 4799364.4375, 559574.3942 4799354.5583999995, 559594.5393000003 4799350.9333999995, 559601.0356999999 4799349.7644, 559622.1980999997 4799346.251599999, 559652.7851999998 4799340.768200001, 559672.8338000001 4799336.827, 559692.2827000003 4799332.714400001, 559714.5590000004 4799327.573799999, 559723.8211000003 4799325.5735)"
92,"LINESTRING (559472.8587999996 4799372.8531, 559516.3086999999 4799364.4375, 559574.3942 4799354.5583999995, 559594.5393000003 4799350.9333999995, 559601.0356999999 4799349.7644, 559622.1980999997 4799346.251599999, 559652.7851999998 4799340.768200001, 559672.8338000001 4799336.827, 559692.2827000003 4799332.714400001, 559714.5590000004 4799327.573799999, 559723.8211000003 4799325.5735)"
93,"LINESTRING (555686.9183999998 4797088.3182, 555688.4413999999 4797073.8895, 555693.3558999998 4797036.6271)"
94,"LINESTRING (555686.9183999998 4797088.3182, 555688.4413999999 4797073.8895, 555693.3558999998 4797036.6271)"
95,"LINESTRING (555664.1328999996 4797968.499, 555660.9063999997 4797931.1764, 555663.1925999997 4797844.772600001, 555665.3695 4797764.278999999, 555665.6907000002 4797751.062100001)"
96,"LINESTRING (555664.1328999996 4797968.499, 555660.9063999997 4797931.1764, 555663.1925999997 4797844.772600001, 555665.3695 4797764.278999999, 555665.6907000002 4797751.062100001)"
97,"LINESTRING (560683.1884000003 4798898.5381000005, 560703.0891000004 4798888.764599999, 560723.3951000003 4798878.792099999, 560784.8245999999 4798848.068299999)"
98,"LINESTRING (560683.1884000003 4798898.5381000005, 560703.0891000004 4798888.764599999, 560723.3951000003 4798878.792099999, 560784.8245999999 4798848.068299999)"
99,"LINESTRING (523346.9537000004 4801397.9893, 523314.75370000023 4801370.154999999, 523255.9938000003 4801325.813999999, 523219.9923999999 4801301.8089000005, 523195.83609999996 4801287.944700001)"
100,"LINESTRING (523346.9537000004 4801397.9893, 523314.75370000023 4801370.154999999, 523255.9938000003 4801325.813999999, 523219.9923999999 4801301.8089000005, 523195.83609999996 4801287.944700001)"
101,"LINESTRING (547373.7121000001 4815412.5756, 547388.4466000004 4815436.051899999, 547423.2770999996 4815481.7926, 547450.1832999997 4815510.0569)"
102,"LINESTRING (547373.7121000001 4815412.5756, 547388.4466000004 4815436.051899999, 547423.2770999996 4815481.7926, 547450.1832999997 4815510.0569)"
