origin_zone_id,dest_zone_id,bus,ion,transit_min_gc
12715,40528,44.7071,41.1101,41.1101
40737,13010,47.15569999999999,41.11009999999999,41.11009999999999
40434,13136,,41.10679999999999,41.10679999999999
40434,13002,,41.077099999999994,41.077099999999994
40438,13011,,41.05069999999999,41.05069999999999
13011,40536,,41.04740000000001,41.04740000000001
40521,12522,,41.03749999999999,41.03749999999999
40424,12612,,41.03419999999999,41.03419999999999
40424,12645,54.1319,41.0111,41.0111
40513,13138,62.078300000000006,41.0078,41.0078
12904,40777,,40.99130000000001,40.99130000000001
40526,13008,,40.9913,40.9913
13010,21512,,40.98470000000001,40.98470000000001
40424,12727,54.80180000000001,40.981399999999994,40.981399999999994
40405,12715,51.726200000000006,40.978100000000005,40.978100000000005
13136,40436,,40.9682,40.9682
13010,21908,,40.96490000000001,40.96490000000001
40422,13008,,40.9616,40.9616
40521,12718,54.0527,40.935199999999995,40.935199999999995
40903,13136,49.1159,40.918699999999994,40.918699999999994
13006,40528,58.94989999999999,40.8956,40.8956
40903,13002,49.337,40.889,40.889
40906,13010,46.82569999999999,40.86259999999999,40.86259999999999
40434,12707,,40.8494,40.8494
13002,21626,47.5154,40.8428,40.8428
40438,13006,,40.842799999999976,40.842799999999976
13010,40423,,40.83950000000001,40.83950000000001
40909,12715,48.8585,40.83619999999999,40.83619999999999
40737,13136,46.60459999999999,40.82959999999999,40.82959999999999
13009,40435,,40.8263,40.8263
13006,40424,53.25739999999999,40.8131,40.8131
13138,40528,54.329899999999995,40.8098,40.8098
12710,40535,49.158799999999985,40.7933,40.7933
40521,12503,,40.78669999999999,40.78669999999999
40513,12715,58.7255,40.7834,40.7834
40716,13138,55.9106,40.7504,40.7504
13008,40777,47.2877,40.73060000000001,40.73060000000001
40526,12904,,40.7306,40.7306
13138,40424,49.15219999999999,40.7273,40.7273
40434,13011,,40.720699999999994,40.720699999999994
40422,12904,,40.7009,40.7009
13009,40424,41.892199999999995,40.674499999999995,40.674499999999995
40903,12707,48.8585,40.6613,40.6613
40536,13008,,40.6283,40.6283
13009,40513,43.562,40.615100000000005,40.615100000000005
