link_id,from_node_id,to_node_id,directed,length,geometry_id,allowed_uses,lanes,travel_time
406,1594,1595,1,543.76,406,transit,1,1.0
407,1595,1596,1,606.06,407,transit,1,2.0
408,1596,1597,1,812.86,408,transit,1,2.0
409,1597,1598,1,600.46,409,transit,1,3.0
410,581,582,1,3636.7,410,transit,1,7.0
411,582,583,1,561.03,411,transit,1,1.0
412,583,584,1,224.18,412,transit,1,1.0
413,584,585,1,248.13,413,transit,1,2.0
414,585,586,1,376.86,414,transit,1,1.0
415,586,587,1,1006.08,415,transit,1,3.0
416,587,588,1,923.78,416,transit,1,2.0
417,588,589,1,556.78,417,transit,1,2.0
418,589,590,1,507.76,418,transit,1,1.0
419,590,591,1,621.58,419,transit,1,1.0
420,591,592,1,1833.84,420,transit,1,3.0
421,592,593,1,1143.98,421,transit,1,3.0
422,593,594,1,1243.73,422,transit,1,3.0
423,594,595,1,723.8,423,transit,1,1.0
424,595,596,1,356.99,424,transit,1,1.0
425,596,597,1,561.24,425,transit,1,2.0
426,597,598,1,434.19,426,transit,1,1.0
427,598,599,1,501.71,427,transit,1,1.0
428,599,600,1,356.17,428,transit,1,2.0
429,600,601,1,239.08,429,transit,1,1.0
430,1498,1499,1,178.02,430,transit,1,1.0
431,1499,1500,1,267.55,431,transit,1,1.0
432,1500,1501,1,352.89,432,transit,1,1.0
433,1501,1502,1,135.86,433,transit,1,2.0
434,1502,1503,1,255.17,434,transit,1,1.0
435,1503,1504,1,135.3,435,transit,1,2.0
436,1504,1505,1,354.99,436,transit,1,2.0
437,1505,1506,1,554.33,437,transit,1,1.0
438,1506,1507,1,412.46,438,transit,1,1.0
439,1507,1508,1,390.75,439,transit,1,2.0
440,1508,1509,1,1142.88,440,transit,1,2.0
441,1509,1510,1,699.15,441,transit,1,1.0
442,1510,1511,1,832.93,442,transit,1,1.0
443,1511,1512,1,1073.24,443,transit,1,3.0
444,1512,1513,1,535.61,444,transit,1,1.0
445,1513,1514,1,322.98,445,transit,1,1.0
446,1514,1515,1,283.35,446,transit,1,2.0
447,1515,1516,1,369.87,447,transit,1,1.0
448,1516,1517,1,449.8,448,transit,1,2.0
449,1517,1518,1,1391.35,449,transit,1,3.0
