geometry_id,geometry
132,"LINESTRING (533480.678662971 4812725.909790457, 533093.0889387374 4812997.869292895)"
133,"LINESTRING (533093.0889387374 4812997.869292895, 532779.5287163147 4813122.500602687)"
134,"LINESTRING (532779.5287163147 4813122.500602687, 532961.6924718731 4813252.996889007)"
135,"LINESTRING (532961.6924718731 4813252.996889007, 533200.7192984435 4813397.993979868)"
136,"LINESTRING (533200.7192984435 4813397.993979868, 533557.7155040012 4813320.910269291)"
137,"LINESTRING (533557.7155040012 4813320.910269291, 533841.6868656294 4813274.908224962)"
138,"LINESTRING (533841.6868656294 4813274.908224962, 534018.7173516909 4813343.99113637)"
139,"LINESTRING (534018.7173516909 4813343.99113637, 534406.73387592 4813577.9676077925)"
140,"LINESTRING (534406.73387592 4813577.9676077925, 534571.6965604495 4813631.899344586)"
141,"LINESTRING (534571.6965604495 4813631.899344586, 534687.6668441304 4813382.942365977)"
142,"LINESTRING (534687.6668441304 4813382.942365977, 534860.695951341 4813175.9301743)"
143,"LINESTRING (534860.695951341 4813175.9301743, 535012.6883765252 4812940.936793999)"
144,"LINESTRING (535012.6883765252 4812940.936793999, 535187.7313173335 4812878.988541926)"
145,"LINESTRING (535187.7313173335 4812878.988541926, 535445.2117530601 4813002.946753774)"
146,"LINESTRING (535445.2117530601 4813002.946753774, 535954.7134855886 4813259.97882815)"
147,"LINESTRING (535954.7134855886 4813259.97882815, 536356.683956371 4813459.936013232)"
148,"LINESTRING (536356.683956371 4813459.936013232, 536671.1844274558 4813605.906542315)"
149,"LINESTRING (536671.1844274558 4813605.906542315, 537170.0028305945 4813559.993445683)"
150,"LINESTRING (538067.697507907 4816273.914814894, 538350.6654580111 4816444.890806867)"
151,"LINESTRING (538350.6654580111 4816444.890806867, 538097.7093983253 4816884.924719799)"
152,"LINESTRING (538097.7093983253 4816884.924719799, 538056.7066222676 4817044.9549732655)"
153,"LINESTRING (538056.7066222676 4817044.9549732655, 538258.6792130723 4817237.904506672)"
154,"LINESTRING (538258.6792130723 4817237.904506672, 538114.5148288213 4817443.106130318)"
155,"LINESTRING (538114.5148288213 4817443.106130318, 537928.1979065664 4817671.06282113)"
156,"LINESTRING (537928.1979065664 4817671.06282113, 537670.7440104858 4817584.98685291)"
157,"LINESTRING (537670.7440104858 4817584.98685291, 537457.7307112833 4817442.970843233)"
158,"LINESTRING (537457.7307112833 4817442.970843233, 537632.4308444677 4817180.062905682)"
159,"LINESTRING (538661.2087688823 4812530.411847558, 538440.6927078862 4812839.45793623)"
160,"LINESTRING (538440.6927078862 4812839.45793623, 538562.0405459941 4812243.752779813)"
161,"LINESTRING (538562.0405459941 4812243.752779813, 538676.6731269158 4812130.905301347)"
162,"LINESTRING (538676.6731269158 4812130.905301347, 538881.3103121428 4812041.787385712)"
163,"LINESTRING (538881.3103121428 4812041.787385712, 539217.6929444696 4811821.9445541315)"
164,"LINESTRING (539217.6929444696 4811821.9445541315, 539352.3937867832 4811722.888671202)"
165,"LINESTRING (539352.3937867832 4811722.888671202, 539167.2782082314 4811638.073024458)"
166,"LINESTRING (539167.2782082314 4811638.073024458, 538910.705194528 4811445.894829181)"
167,"LINESTRING (538910.705194528 4811445.894829181, 539062.7410403255 4811122.920189706)"
168,"LINESTRING (539062.7410403255 4811122.920189706, 539147.4972198878 4810948.490752756)"
169,"LINESTRING (539147.4972198878 4810948.490752756, 539300.7022939406 4810636.967534701)"
170,"LINESTRING (539300.7022939406 4810636.967534701, 539408.6876247306 4810352.948551893)"
171,"LINESTRING (539408.6876247306 4810352.948551893, 539487.7045731039 4810152.945809321)"
172,"LINESTRING (539487.7045731039 4810152.945809321, 539691.6898434224 4809922.9145849375)"
173,"LINESTRING (539691.6898434224 4809922.9145849375, 539784.6808244761 4809811.957392912)"
174,"LINESTRING (539784.6808244761 4809811.957392912, 540014.6752005819 4809852.967090091)"
175,"LINESTRING (540014.6752005819 4809852.967090091, 540333.1263681436 4809933.384586805)"
176,"LINESTRING (540333.1263681436 4809933.384586805, 540593.0433000796 4809909.28920337)"
177,"LINESTRING (540593.0433000796 4809909.28920337, 541023.6439828771 4809657.787155068)"
178,"LINESTRING (541023.6439828771 4809657.787155068, 541191.7027825456 4809358.1689409865)"
179,"LINESTRING (541191.7027825456 4809358.1689409865, 541369.9984101332 4808988.64911407)"
180,"LINESTRING (541369.9984101332 4808988.64911407, 541530.7219892883 4808754.964589237)"
181,"LINESTRING (541530.7219892883 4808754.964589237, 541867.7227937446 4808916.976099029)"
182,"LINESTRING (541867.7227937446 4808916.976099029, 542104.6674909635 4808897.904697689)"
183,"LINESTRING (542104.6674909635 4808897.904697689, 541959.2209094604 4808665.987832372)"
184,"LINESTRING (541959.2209094604 4808665.987832372, 541761.1762777765 4808152.989122909)"
185,"LINESTRING (541761.1762777765 4808152.989122909, 541500.1669127019 4807855.956259414)"
186,"LINESTRING (541500.1669127019 4807855.956259414, 541637.6909700801 4807684.995241562)"
187,"LINESTRING (541637.6909700801 4807684.995241562, 541837.676556895 4807444.896703311)"
188,"LINESTRING (541837.676556895 4807444.896703311, 542133.6921034516 4807092.891827973)"
189,"LINESTRING (542133.6921034516 4807092.891827973, 542254.3837046658 4806940.937506581)"
190,"LINESTRING (542254.3837046658 4806940.937506581, 542407.2458907863 4806576.952977158)"
191,"LINESTRING (542407.2458907863 4806576.952977158, 542496.2230409201 4806191.9089831)"
192,"LINESTRING (542496.2230409201 4806191.9089831, 542637.1809350605 4805834.959543575)"
193,"LINESTRING (542637.1809350605 4805834.959543575, 543053.6448675251 4805516.414186539)"
194,"LINESTRING (543053.6448675251 4805516.414186539, 543118.196733913 4805222.958955114)"
195,"LINESTRING (543118.196733913 4805222.958955114, 543088.2440869323 4804776.969616168)"
196,"LINESTRING (543088.2440869323 4804776.969616168, 543153.817285724 4804616.461200877)"
197,"LINESTRING (543153.817285724 4804616.461200877, 543406.7214733998 4804769.9051797055)"
198,"LINESTRING (543406.7214733998 4804769.9051797055, 543613.6727794904 4804928.944936133)"
199,"LINESTRING (543613.6727794904 4804928.944936133, 543896.7018760844 4805068.938562564)"
200,"LINESTRING (543896.7018760844 4805068.938562564, 544094.6745891473 4804937.954613979)"
201,"LINESTRING (544094.6745891473 4804937.954613979, 544124.7055433037 4804617.961843532)"
202,"LINESTRING (544124.7055433037 4804617.961843532, 544488.7460736729 4804422.994447585)"
203,"LINESTRING (544488.7460736729 4804422.994447585, 544663.6978511501 4804176.92712529)"
204,"LINESTRING (544663.6978511501 4804176.92712529, 544999.7451642575 4804274.892088722)"
