OBJECTID,Stage1,RouteLocationStage1,Stage2,RouteLocationStage2,TravelDirection,Oneway,RouteStatus,EditDate,GlobalID
414,aBRT,Curbside,,,Southbound,Yes,Planned,2015/07/30 09:50:41+00,{5B4656A4-A50B-4FE0-AE7B-6376CA03CDD3}
415,aBRT,Curbside,,,Southbound,Yes,Planned,2015/07/30 09:50:41+00,{41498D80-4B00-4BEC-AD24-482174461AD1}
416,LRT,Rail Corridor,LRT,Rail Corridor,Northbound,Yes,Constructed,2018/12/19 16:28:38+00,{3B6C49FA-62EA-487C-A3C1-8F7C057F367F}
417,aBRT,Curbside,,,Northbound,Yes,Planned,2015/07/30 09:50:41+00,{03A9776C-3902-4074-9A04-95CE76733757}
418,aBRT,Curbside,,,Southbound,Yes,Planned,2015/07/30 09:50:41+00,{B5CA17B8-DC87-440A-B72B-197C809313D8}
419,aBRT,Curbside,,,Northbound,Yes,Planned,2015/07/30 09:50:41+00,{8BBD94EA-69CC-4989-B13C-78A5D7C221B9}
420,LRT,Rail Corridor,LRT,Rail Corridor,Southbound,Yes,Constructed,2018/12/19 16:28:38+00,{AF1DFF71-68CA-4B84-A5E1-0AE3EA5861C0}
421,aBRT,Curbside,,,Northbound,Yes,Planned,2015/07/30 09:50:41+00,{9C3CAD1D-7C15-49ED-8753-9F68BE38C556}
422,LRT,Centre,LRT,Centre,Southbound,Yes,Constructed,2018/12/19 16:28:38+00,{B86D84E3-2A3F-4437-BE47-7B96C98375A0}
423,LRT,Centre,LRT,Centre,Northbound,Yes,Constructed,2018/12/19 16:28:38+00,{931809D3-0EDD-4D74-B118-FAA5204CCB6D}
424,aBRT,Curbside,,,Northbound,Yes,Planned,2015/07/30 09:50:41+00,{3FFF0C3B-678E-48BF-AE38-408B97DA7B71}
425,LRT,Rail Corridor,LRT,Rail Corridor,Southbound,Yes,Constructed,2018/12/19 16:28:38+00,{C30AD1F1-CBD7-4D90-B39A-B3FF60DB719D}
426,aBRT,Curbside,,,Northbound,Yes,Planned,2015/07/30 09:50:41+00,{44EAFEBB-9D89-4CE1-9E53-EEAE628EEC11}
427,LRT,Curbside,LRT,Curbside,Northbound,Yes,Constructed,2018/12/19 16:28:38+00,{6F84A7D5-B423-4D19-B765-DEFCE2B98B07}
428,aBRT,Curbside,,,Bi-Directional,No,Planned,2015/07/30 09:50:41+00,{80198198-B708-4587-A099-B2CD79D637F9}
429,aBRT,Curbside,,,Bi-Directional,No,Planned,2015/07/30 09:50:41+00,{EDAFF7CD-6E95-4222-B4DB-F96A1705D2D7}
430,aBRT,Curbside,,Centre,Bi-Directional,No,Planned,2017/04/21 13:24:16+00,{3E1B5AF2-9CDB-4A57-9957-B42959A85410}
431,aBRT,Curbside,,,Northbound,Yes,Planned,2015/07/30 09:50:41+00,{831D19E1-28E4-4E13-8507-7B84716F4070}
432,aBRT,Curbside,,,Northbound,Yes,Planned,2015/07/30 09:50:41+00,{D65A3FAA-EB57-4F78-BE00-6AF8E44E2107}
433,aBRT,Curbside,,,Northbound,Yes,Planned,2015/07/30 09:50:41+00,{AFF9D6CC-18D4-4A9B-8304-8D8E043FE1A5}
434,aBRT,Curbside,,,Northbound,Yes,Planned,2015/07/30 09:50:41+00,{FEBCC103-52C6-45C3-8D6B-C6948829FAFD}
435,aBRT,Curbside,,,Bi-Directional,No,Planned,2015/07/30 09:50:41+00,{CFF4CEAC-0FF7-41D8-A3FD-AC5ADA638764}
436,aBRT,Curbside,,,Northbound,Yes,Planned,2015/07/30 09:50:41+00,{4652B9C8-FFF5-41B9-868A-DC457B9F980C}
437,aBRT,Curbside,,Centre,Bi-Directional,No,Planned,2017/04/21 13:24:16+00,{0C07EE68-33D7-484E-B01A-C217CD9CD20B}
438,,,LRT,Centre,Bi-Directional,No,Planned,2024/05/01 15:32:16+00,{76FE00E3-6F89-4AA8-9B75-F97832CBCF58}
440,aBRT,Curbside,,,Bi-Directional,No,Planned,2015/07/30 09:50:41+00,{CCE53F8F-F78A-4F9D-9ACD-F1F74DAFEB5F}
441,aBRT,Curbside,,,Bi-Directional,No,Planned,2015/07/30 09:50:41+00,{78FF130E-E581-4FE8-9E85-319DDDC9D38A}
442,LRT,Centre,LRT,Centre,Southbound,Yes,Constructed,2018/12/19 16:28:38+00,{93D22ADD-03B2-45B6-A2AE-DEE72AF07ED9}
443,LRT,Rail Corridor,LRT,Rail Corridor,Southbound,Yes,Constructed,2018/12/19 16:28:38+00,{D4350DC5-E81D-4F51-8D5B-D6B2BE02E38E}
444,aBRT,Curbside,,,Bi-Directional,No,Planned,2015/07/30 09:50:41+00,{4F877D38-DDB0-483B-86FD-6671ED48B3FA}
445,aBRT,Curbside,,,Bi-Directional,No,Planned,2015/07/30 09:50:41+00,{11C93CC6-72AF-4616-ABFF-77622AB6C6C8}
446,LRT,Centre,LRT,Centre,Northbound,Yes,Constructed,2018/12/19 16:28:38+00,{CCE31617-6F30-4947-9539-FBC92956E8B1}
447,aBRT,Curbside,,,Northbound,Yes,Planned,2015/07/30 09:50:41+00,{71A964AC-B8CC-4586-8A38-01F2FCD26CA1}
448,aBRT,Curbside,,,Northbound,Yes,Planned,2015/07/30 09:50:41+00,{09876E6D-E7FB-44CC-A27E-E266AB1DF2BE}
449,LRT,Curbside,LRT,Curbside,Northbound,Yes,Constructed,2018/12/19 16:28:38+00,{A586CCA8-3F50-444E-8E5E-5F050DE572FA}
